"week","assetId","template","formatSet","title","sourceUrl","hook","dataOverlay","cta","distribution"
"1","planning-1","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 8-unit Demolition Of Storage Buildings, Construction Of 6 New Dwellings, Conversion A in Chelmsford","/news/2026-04-22-26-00122-ful-chelmsford-planning-approved","Chelmsford City Council has approved 8 residential units at Barns West Of Claydons Farm Bungalow Back Lane East Hanningfield Chelmsford. Local sold-price evidence indicates a median price of £395,000; high-level 70% LTGDV senior debt would be approximately £2,212,000.","Indicative 70% LTGDV funding view","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","planning-2","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 4-unit Construction Of Four Detached Dwellings With Associated Access, Parking, Lands in Chelmsford","/news/2026-04-16-26-00127-ful-chelmsford-planning-approved","Chelmsford City Council has approved 4 residential units at Land At Whitegates Woodham Road Rettendon Wickford Essex. Local sold-price evidence indicates a median price of £395,000; high-level 70% LTGDV senior debt would be approximately £1,106,000.","Indicative 70% LTGDV funding view","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","planning-3","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 4-unit Approval of Reserved Matters application for appearance and scale relating to  in Eastbourne","/news/2026-04-21-lw-26-0098-eastbourne-planning-approved","Lewes and Eastbourne Councils has approved 4 residential units at Land East Of Tillershaw, North Common Road, Wivelsfield Green, East Sussex, ,. Local sold-price evidence indicates a median price of £270,000; high-level 70% LTGDV senior debt would be approximately £756,000.","Indicative 70% LTGDV funding view","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","planning-4","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 2-unit Proposal For 2 X Semi-Detached Dwellings in Sutton In Ashfield","/news/2026-04-24-v-2026-0092-sutton-in-ashfield-planning-approved","Ashfield District Council has approved 2 residential units at 2 Milldale Walk, Sutton In Ashfield, Nottinghamshire, NG17 2DJ. Local sold-price evidence indicates a median price of £195,000 (fallback median); high-level 70% LTGDV senior debt would be approximately £273,000.","Indicative 70% LTGDV funding view","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","seo-1","Planning approval funding view","9:16, 1:1, 16:9","fast bridging loan","/guides/fast-bridging-loan","What developers need to know about fast bridging loan","1300 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-2","70% LTGDV site breakdown","9:16, 1:1, 16:9","fast bridging loans","/guides/fast-bridging-loans","What developers need to know about fast bridging loans","1300 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-3","Bridging loan rate explainer","9:16, 1:1, 16:9","fast bridging finance","/guides/fast-bridging-finance","What developers need to know about fast bridging finance","1000 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-4","Development exit finance explainer","9:16, 1:1, 16:9","bridging loan property development","/guides/bridging-loan-property-development","What developers need to know about bridging loan property development","390 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-5","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","development exit finance","/guides/development-exit-finance","What developers need to know about development exit finance","720 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-6","Location market snapshot","9:16, 1:1, 16:9","fastest bridging loan","/guides/fastest-bridging-loan","What developers need to know about fastest bridging loan","1000 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-7","Weekly market and rate update","9:16, 1:1, 16:9","bridging finance property development","/guides/bridging-finance-property-development","What developers need to know about bridging finance property development","390 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-8","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","bridging loan fast","/guides/bridging-loan-fast","What developers need to know about bridging loan fast","1300 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-9","Case study animation","9:16, 1:1, 16:9","bridging loans brokers","/services/bridging-loans-brokers","What developers need to know about bridging loans brokers","720 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-10","Developer mistakes short","9:16, 1:1, 16:9","quick bridging loans","/guides/quick-bridging-loans","What developers need to know about quick bridging loans","1000 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-11","Planning approval funding view","9:16, 1:1, 16:9","quick bridging loan","/guides/quick-bridging-loan","What developers need to know about quick bridging loan","1300 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-12","70% LTGDV site breakdown","9:16, 1:1, 16:9","commercial bridge loan","/guides/commercial-bridge-loan","What developers need to know about commercial bridge loan","1000 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-13","Bridging loan rate explainer","9:16, 1:1, 16:9","loan for property development","/guides/loan-for-property-development","What developers need to know about loan for property development","1000 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-14","Development exit finance explainer","9:16, 1:1, 16:9","commercial bridging loans","/guides/commercial-bridging-loans","What developers need to know about commercial bridging loans","880 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-15","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","uk bridging finance","/guides/uk-bridging-finance","What developers need to know about uk bridging finance","2900 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-16","Location market snapshot","9:16, 1:1, 16:9","property development finance in scotland","/guides/property-development-finance-in-scotland","What developers need to know about property development finance in scotland","480 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-17","Weekly market and rate update","9:16, 1:1, 16:9","development finance lender","/services/development-finance-lender","What developers need to know about development finance lender","390 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-18","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","commercial development financing","/guides/commercial-development-financing","What developers need to know about commercial development financing","210 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-19","Case study animation","9:16, 1:1, 16:9","bridging loan for property development","/guides/bridging-loan-for-property-development","What developers need to know about bridging loan for property development","390 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-20","Developer mistakes short","9:16, 1:1, 16:9","bridging finance uk","/guides/bridging-finance-uk","What developers need to know about bridging finance uk","2900 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-21","Planning approval funding view","9:16, 1:1, 16:9","development finance property","/guides/development-finance-property","What developers need to know about development finance property","720 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-22","70% LTGDV site breakdown","9:16, 1:1, 16:9","bridging finance broker","/services/bridging-finance-broker","What developers need to know about bridging finance broker","720 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-23","Bridging loan rate explainer","9:16, 1:1, 16:9","lending for property development","/guides/lending-for-property-development","What developers need to know about lending for property development","1000 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-24","Development exit finance explainer","9:16, 1:1, 16:9","bridge loan london","/locations/[county]/[town]/bridge-loan-london","What developers need to know about bridge loan london","590 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-25","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","property development loan","/guides/property-development-loan","What developers need to know about property development loan","1000 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-26","Location market snapshot","9:16, 1:1, 16:9","development exit loan","/guides/development-exit-loan","What developers need to know about development exit loan","90 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-27","Weekly market and rate update","9:16, 1:1, 16:9","bridge loan commercial","/guides/bridge-loan-commercial","What developers need to know about bridge loan commercial","140 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-28","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","bridging loans broker","/services/bridging-loans-broker","What developers need to know about bridging loans broker","720 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-29","Case study animation","9:16, 1:1, 16:9","regulated bridging loan","/guides/regulated-bridging-loan","What developers need to know about regulated bridging loan","390 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-30","Developer mistakes short","9:16, 1:1, 16:9","bridging loan interest rates","/calculators/bridging-loan-interest-rates","What developers need to know about bridging loan interest rates","1300 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-31","Planning approval funding view","9:16, 1:1, 16:9","development finance loans","/guides/development-finance-loans","What developers need to know about development finance loans","390 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-32","70% LTGDV site breakdown","9:16, 1:1, 16:9","uk property development finance","/guides/uk-property-development-finance","What developers need to know about uk property development finance","110 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-33","Bridging loan rate explainer","9:16, 1:1, 16:9","loans for development","/guides/loans-for-development","What developers need to know about loans for development","480 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-34","Development exit finance explainer","9:16, 1:1, 16:9","bridging finance on property","/guides/bridging-finance-on-property","What developers need to know about bridging finance on property","720 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-35","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","bridging loan scotland","/guides/bridging-loan-scotland","What developers need to know about bridging loan scotland","1600 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-36","Location market snapshot","9:16, 1:1, 16:9","development exit loans","/guides/development-exit-loans","What developers need to know about development exit loans","90 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-37","Weekly market and rate update","9:16, 1:1, 16:9","uk bridging loan","/guides/uk-bridging-loan","What developers need to know about uk bridging loan","2900 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-38","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","regulated bridging loans","/guides/regulated-bridging-loans","What developers need to know about regulated bridging loans","390 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-39","Case study animation","9:16, 1:1, 16:9","bridging loan brokers","/services/bridging-loan-brokers","What developers need to know about bridging loan brokers","880 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-40","Developer mistakes short","9:16, 1:1, 16:9","loans for property development","/guides/loans-for-property-development","What developers need to know about loans for property development","1000 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","recurring-1","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-2","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-3","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-4","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-5","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-6","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-7","Weekly market and rate update","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-8","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-9","Case study animation","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-10","Developer mistakes short","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-11","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-12","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-13","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-14","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-15","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-16","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-17","Weekly market and rate update","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-18","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-19","Case study animation","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-20","Developer mistakes short","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-21","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-22","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-23","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-24","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"5","recurring-25","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-26","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-27","Weekly market and rate update","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-28","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-29","Case study animation","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"6","recurring-30","Developer mistakes short","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-31","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-32","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-33","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-34","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"7","recurring-35","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"8","recurring-36","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
